City,Date Onset,Cases, Population ,Square km
CALOOCAN CITY,2/20/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/1/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,3/10/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/11/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/12/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,3/13/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/14/2020,6," 1,500,000.00 ",53.334
CALOOCAN CITY,3/15/2020,6," 1,500,000.00 ",53.334
CALOOCAN CITY,3/16/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,3/17/2020,7," 1,500,000.00 ",53.334
CALOOCAN CITY,3/18/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,3/19/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/20/2020,7," 1,500,000.00 ",53.334
CALOOCAN CITY,3/21/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/22/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/23/2020,6," 1,500,000.00 ",53.334
CALOOCAN CITY,3/24/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,3/25/2020,6," 1,500,000.00 ",53.334
CALOOCAN CITY,3/26/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,3/27/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,3/28/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,3/3/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/30/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,3/31/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/5/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/7/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/8/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,3/9/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/1/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/10/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/11/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,4/12/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/13/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/14/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/16/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/18/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/19/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/2/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,4/20/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/21/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/22/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/23/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/24/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/25/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,4/27/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/28/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/29/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/3/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/30/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/4/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,4/5/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/6/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/7/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/8/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/9/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,5/1/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/10/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/13/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/14/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/15/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/16/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/2/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,5/20/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/3/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/4/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,5/5/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/6/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,5/7/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,5/8/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,5/9/2020,1," 1,500,000.00 ",53.334
CITY OF LAS PIÑAS,2/25/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/1/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/10/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/11/2020,5," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/12/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/13/2020,5," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/14/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/15/2020,4," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/16/2020,9," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/17/2020,8," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/18/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/2/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/20/2020,4," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/21/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/22/2020,4," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/23/2020,4," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/24/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/25/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/26/2020,5," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/27/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/28/2020,7," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/29/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/3/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/30/2020,10," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/31/2020,8," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/4/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/6/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/8/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/9/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/1/2020,7," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/11/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/14/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/15/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/16/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/18/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/19/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/2/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/20/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/23/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/24/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/27/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/28/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/3/2020,7," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/30/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/4/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/5/2020,6," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/6/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/7/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/8/2020,5," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/9/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/11/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/13/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/14/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/5/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/6/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/8/2020,2," 590,000.00 ",32.69
CITY OF MAKATI,2/13/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,2/26/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,2/28/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,2/29/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,3/1/2020,5," 510,383.00 ",21.57
CITY OF MAKATI,3/10/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,3/11/2020,13," 510,383.00 ",21.57
CITY OF MAKATI,3/12/2020,9," 510,383.00 ",21.57
CITY OF MAKATI,3/13/2020,14," 510,383.00 ",21.57
CITY OF MAKATI,3/14/2020,16," 510,383.00 ",21.57
CITY OF MAKATI,3/15/2020,13," 510,383.00 ",21.57
CITY OF MAKATI,3/16/2020,13," 510,383.00 ",21.57
CITY OF MAKATI,3/17/2020,8," 510,383.00 ",21.57
CITY OF MAKATI,3/18/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,3/19/2020,16," 510,383.00 ",21.57
CITY OF MAKATI,3/2/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,3/20/2020,17," 510,383.00 ",21.57
CITY OF MAKATI,3/21/2020,13," 510,383.00 ",21.57
CITY OF MAKATI,3/22/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,3/23/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,3/24/2020,8," 510,383.00 ",21.57
CITY OF MAKATI,3/25/2020,12," 510,383.00 ",21.57
CITY OF MAKATI,3/26/2020,8," 510,383.00 ",21.57
CITY OF MAKATI,3/27/2020,8," 510,383.00 ",21.57
CITY OF MAKATI,3/28/2020,10," 510,383.00 ",21.57
CITY OF MAKATI,3/29/2020,7," 510,383.00 ",21.57
CITY OF MAKATI,3/3/2020,4," 510,383.00 ",21.57
CITY OF MAKATI,3/30/2020,9," 510,383.00 ",21.57
CITY OF MAKATI,3/31/2020,12," 510,383.00 ",21.57
CITY OF MAKATI,3/5/2020,3," 510,383.00 ",21.57
CITY OF MAKATI,3/6/2020,3," 510,383.00 ",21.57
CITY OF MAKATI,3/7/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,3/8/2020,5," 510,383.00 ",21.57
CITY OF MAKATI,3/9/2020,10," 510,383.00 ",21.57
CITY OF MAKATI,4/1/2020,12," 510,383.00 ",21.57
CITY OF MAKATI,4/10/2020,7," 510,383.00 ",21.57
CITY OF MAKATI,4/11/2020,11," 510,383.00 ",21.57
CITY OF MAKATI,4/12/2020,3," 510,383.00 ",21.57
CITY OF MAKATI,4/13/2020,5," 510,383.00 ",21.57
CITY OF MAKATI,4/14/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,4/15/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,4/16/2020,5," 510,383.00 ",21.57
CITY OF MAKATI,4/17/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,4/18/2020,5," 510,383.00 ",21.57
CITY OF MAKATI,4/19/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,4/2/2020,16," 510,383.00 ",21.57
CITY OF MAKATI,4/20/2020,4," 510,383.00 ",21.57
CITY OF MAKATI,4/21/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,4/22/2020,3," 510,383.00 ",21.57
CITY OF MAKATI,4/23/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,4/24/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,4/25/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,4/26/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,4/27/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,4/28/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,4/29/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,4/3/2020,5," 510,383.00 ",21.57
CITY OF MAKATI,4/30/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,4/4/2020,12," 510,383.00 ",21.57
CITY OF MAKATI,4/5/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,4/6/2020,12," 510,383.00 ",21.57
CITY OF MAKATI,4/7/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,4/8/2020,16," 510,383.00 ",21.57
CITY OF MAKATI,4/9/2020,7," 510,383.00 ",21.57
CITY OF MAKATI,5/1/2020,3," 510,383.00 ",21.57
CITY OF MAKATI,5/10/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,5/13/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,5/15/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,5/18/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,5/19/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,5/2/2020,6," 510,383.00 ",21.57
CITY OF MAKATI,5/3/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,5/4/2020,3," 510,383.00 ",21.57
CITY OF MAKATI,5/5/2020,2," 510,383.00 ",21.57
CITY OF MAKATI,5/8/2020,1," 510,383.00 ",21.57
CITY OF MAKATI,5/9/2020,2," 510,383.00 ",21.57
CITY OF MALABON,3/10/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/11/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/16/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/17/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/19/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/20/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/21/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/25/2020,2," 365,525.00 ",19.76
CITY OF MALABON,3/26/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/3/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/30/2020,3," 365,525.00 ",19.76
CITY OF MALABON,3/31/2020,2," 365,525.00 ",19.76
CITY OF MALABON,3/8/2020,1," 365,525.00 ",19.76
CITY OF MALABON,3/9/2020,1," 365,525.00 ",19.76
CITY OF MALABON,4/1/2020,1," 365,525.00 ",19.76
CITY OF MALABON,4/10/2020,1," 365,525.00 ",19.76
CITY OF MALABON,4/12/2020,1," 365,525.00 ",19.76
CITY OF MALABON,4/16/2020,2," 365,525.00 ",19.76
CITY OF MALABON,4/19/2020,1," 365,525.00 ",19.76
CITY OF MALABON,4/21/2020,2," 365,525.00 ",19.76
CITY OF MALABON,4/23/2020,1," 365,525.00 ",19.76
CITY OF MALABON,4/28/2020,1," 365,525.00 ",19.76
CITY OF MALABON,4/4/2020,1," 365,525.00 ",19.76
CITY OF MALABON,5/1/2020,2," 365,525.00 ",19.76
CITY OF MALABON,5/11/2020,1," 365,525.00 ",19.76
CITY OF MALABON,5/14/2020,1," 365,525.00 ",19.76
CITY OF MALABON,5/16/2020,1," 365,525.00 ",19.76
CITY OF MALABON,5/2/2020,1," 365,525.00 ",19.76
CITY OF MANDALUYONG,2/15/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,2/20/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,2/25/2020,2," 300,000.00 ",11.06
CITY OF MANDALUYONG,2/27/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,2/28/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/1/2020,2," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/10/2020,10," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/11/2020,4," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/12/2020,8," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/13/2020,7," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/14/2020,9," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/15/2020,8," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/16/2020,8," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/17/2020,7," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/18/2020,9," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/19/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/20/2020,9," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/21/2020,8," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/22/2020,10," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/23/2020,8," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/24/2020,9," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/25/2020,6," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/26/2020,10," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/27/2020,12," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/28/2020,4," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/29/2020,6," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/3/2020,2," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/30/2020,13," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/31/2020,12," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/4/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/5/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/6/2020,2," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/7/2020,2," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/8/2020,2," 300,000.00 ",11.06
CITY OF MANDALUYONG,3/9/2020,5," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/1/2020,10," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/10/2020,7," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/11/2020,3," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/12/2020,11," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/13/2020,4," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/14/2020,5," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/15/2020,3," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/16/2020,3," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/17/2020,3," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/18/2020,4," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/19/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/2/2020,5," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/20/2020,2," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/22/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/23/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/24/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/26/2020,3," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/27/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/28/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/3/2020,5," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/4/2020,9," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/5/2020,12," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/6/2020,11," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/7/2020,10," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/8/2020,7," 300,000.00 ",11.06
CITY OF MANDALUYONG,4/9/2020,4," 300,000.00 ",11.06
CITY OF MANDALUYONG,5/1/2020,3," 300,000.00 ",11.06
CITY OF MANDALUYONG,5/10/2020,2," 300,000.00 ",11.06
CITY OF MANDALUYONG,5/15/2020,2," 300,000.00 ",11.06
CITY OF MANDALUYONG,5/2/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,5/3/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,5/6/2020,1," 300,000.00 ",11.06
CITY OF MANDALUYONG,5/8/2020,1," 300,000.00 ",11.06
CITY OF MANILA,2/14/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,2/22/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,2/25/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,2/27/2020,2," 1,600,000.00 ",42.88
CITY OF MANILA,2/29/2020,2," 1,600,000.00 ",42.88
CITY OF MANILA,3/1/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,3/10/2020,9," 1,600,000.00 ",42.88
CITY OF MANILA,3/11/2020,14," 1,600,000.00 ",42.88
CITY OF MANILA,3/12/2020,15," 1,600,000.00 ",42.88
CITY OF MANILA,3/13/2020,11," 1,600,000.00 ",42.88
CITY OF MANILA,3/14/2020,23," 1,600,000.00 ",42.88
CITY OF MANILA,3/15/2020,18," 1,600,000.00 ",42.88
CITY OF MANILA,3/16/2020,27," 1,600,000.00 ",42.88
CITY OF MANILA,3/17/2020,26," 1,600,000.00 ",42.88
CITY OF MANILA,3/18/2020,16," 1,600,000.00 ",42.88
CITY OF MANILA,3/19/2020,14," 1,600,000.00 ",42.88
CITY OF MANILA,3/2/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,3/20/2020,15," 1,600,000.00 ",42.88
CITY OF MANILA,3/21/2020,18," 1,600,000.00 ",42.88
CITY OF MANILA,3/22/2020,16," 1,600,000.00 ",42.88
CITY OF MANILA,3/23/2020,14," 1,600,000.00 ",42.88
CITY OF MANILA,3/24/2020,13," 1,600,000.00 ",42.88
CITY OF MANILA,3/25/2020,21," 1,600,000.00 ",42.88
CITY OF MANILA,3/26/2020,8," 1,600,000.00 ",42.88
